Bank Soal;A;B;C;D;kunci;Difficulty;Tipe Soal;Kategori
Berdasarkan data nilai matematika siswa di suatu sekolah, diketahui nilai Ahmad lebih tinggi dari nilai Bima. Nilai Dimas tidak lebih tinggi dari nilai Fina, tetapi lebih tinggi daripada nilai Erin. Nilai Bima sedikit lebih tinggi dari nilai Cici. @Jika nilai Cici lebih tinggi dari nilai Fina, maka pernyataan berikut yang pasti benar adalah ...;Nilai Dimas berada di urutan ketiga tertinggi.;Nilai Cici lebih rendah dari nilai Dimas.;Dimas memiliki nilai yang lebih rendah dari nilai Bima.;Fina memiliki nilai yang lebih tinggi daripada Ahmad.;C;3;PG4;Soal Bacaan
vertikal --- horizontal;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
fluktuasi --- gejolak;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
bertemu --- berpisah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
racun --- madu;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
ilusi --- khayalan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
kuat --- lemah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
absolut --- mutlak;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
instrumen --- alat;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
mukadimah --- pembukaan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
nisbi --- absolut;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
gugat --- tuntut;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
interpretasi --- tafsir;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
bulat --- bundar;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
ilegal --- sah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
bonus --- hadiah;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
mencatat --- menghapus;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kampiun --- juara;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
perlindungan --- proteksi;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
rajin --- malas;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tinggi --- rendah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
disanjung --- dihina;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
asumsi --- anggapan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
maksimal --- minimal;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
destruktif --- konstruktif;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
elastis --- kaku;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
standar --- baku;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
manual --- otomatis;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
sel --- bui;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
pra --- pasca;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
teliti --- ceroboh;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
gemuk --- kurus;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
praktek --- teori;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
jaminan --- agunan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
akbar --- besar;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
legenda --- dongeng;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
jual --- beli;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
pasif --- aktif;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
lengser --- turun;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
perintis --- pewaris;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
analogi --- persamaan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
relatif --- nisbi;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
gaji --- honor;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
profesional --- amatir;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
introduksi --- penutup;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
pailit --- bangkrut;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
kredit --- debet;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
gasal --- ganjil;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
langit --- bumi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kebal --- rentan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kompromi --- pertentangan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
fenomena --- kejadian;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
fakta --- opini;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
takut --- berani;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
anti --- menentang;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
kandidat --- calon;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
pemugaran --- renovasi;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
realitas --- maya;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
primitif --- modern;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
imitasi --- asli;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
motif --- corak;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
berpakaian --- bugil;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
kenaikan --- inflasi;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
gagal --- sukses;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
nomaden --- menetap;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
kuantitas --- jumlah;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
hukuman --- denda;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
canda --- kelakar;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
adaptasi --- penyesuaian;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
datang --- pergi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
awalan --- akhiran;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
virtual --- maya;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
menderita --- bahagia;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
hambatan --- dukungan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
intermezo --- selingan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
maju --- mundur;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
konvensi --- kesepakatan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
insting --- naluri;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
kulit --- isi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
meluas --- menciut;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tangkal --- cegah;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
mandiri --- bergantung;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
realita --- kenyataan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
stadium --- tingkat;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
hikayat --- sejarah;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
provokasi --- pancingan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
poligami --- monogami;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
mikro --- makro;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
antipati --- simpati;Antonim;Sinonim;;;A;2;PG2;Soal Sinonim/Antonim
gersang --- subur;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
slogan --- semboyan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
antagonis --- lawan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
institusi --- lembaga;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
pro --- kontra;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kelola --- urus;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
berat --- ringan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
suplemen --- tambahan;Antonim;Sinonim;;;B;1;PG2;Soal Sinonim/Antonim
impuls --- rangsangan;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
bukit --- lembah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tender --- penawaran;Antonim;Sinonim;;;B;2;PG2;Soal Sinonim/Antonim
Pilihlah penulisan huruf kapital yang tepat;Museum geologi Bandung;Museum Geologi Bandung;museum Geologi Bandung;museum geologi Bandung;B;2;PG4;Huruf Kapital
Pilihlah penulisan huruf kapital yang tepat;Benua eropa;Benua Eropa;benua Eropa;benua eropa;B;2;PG4;Huruf Kapital
Gelombang di daerah Pantai Kuta pulau Bali sangat tinggi. @Kesalahan penulisan huruf pada kalimat tersebut terdapat pada kata...;Gelombang;Daerah;Pantai;Pulau;D;2;PG4;Huruf Kapital
