Bank Soal;A;B;C;D;kunci;Difficulty;Tipe Soal;Kategori
legenda --- dongeng;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
jual --- beli;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
pasif --- aktif;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
lengser --- turun;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
perintis --- pewaris;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
analogi --- persamaan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
relatif --- nisbi;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
gaji --- honor;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
profesional --- amatir;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
introduksi --- penutup;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
pailit --- bangkrut;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
kredit --- debet;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
gasal --- ganjil;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
langit --- bumi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kebal --- rentan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kompromi --- pertentangan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
fenomena --- kejadian;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
fakta --- opini;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
takut --- berani;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
anti --- menentang;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
kandidat --- calon;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
pemugaran --- renovasi;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
realitas --- maya;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
primitif --- modern;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
imitasi --- asli;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
motif --- corak;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
berpakaian --- bugil;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kenaikan --- inflasi;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
gagal --- sukses;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
nomaden --- menetap;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kuantitas --- jumlah;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
hukuman --- denda;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
canda --- kelakar;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
adaptasi --- penyesuaian;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
datang --- pergi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
awalan --- akhiran;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
virtual --- maya;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
menderita --- bahagia;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
hambatan --- dukungan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
intermezo --- selingan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
maju --- mundur;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
konvensi --- kesepakatan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
insting --- naluri;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
kulit --- isi;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
meluas --- menciut;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tangkal --- cegah;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
mandiri --- bergantung;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
realita --- kenyataan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
stadium --- tingkat;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
hikayat --- sejarah;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
provokasi --- pancingan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
poligami --- monogami;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
mikro --- makro;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
antipati --- simpati;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
gersang --- subur;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
slogan --- semboyan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
antagonis --- lawan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
institusi --- lembaga;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
pro --- kontra;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kelola --- urus;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
berat --- ringan;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
suplemen --- tambahan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
impuls --- rangsangan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
bukit --- lembah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tender --- penawaran;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
"Menurut sejarah, kentang ditanam petani Peru sejak 2.000 tahun lalu pada 1524, saat tentara Spanyol mendarat di sana, kentang, kacang tanah, dan merica mulai dikenal dunia. Seorang tentara Spanyol tertarik pada kentang yang tumbuh subur di Desa Sorocota, di Pegunungan Andes, Peru. Ia membawanya ke Spanyol. Setelah mendarat di Spanyol, ia menyebarkannya ke seluruh penjuru Eropa.\n\nPernyataan yang sesuai dengan isi teks tersebut adalah...";Penyebar kentang di Eropa adalah tentara Spanyol.;Kentang merupakan makanan pokok tentara Spanyol.;Penemuan kacang tanah dan kentang dilakukan dengan sengaja.;Ketertarikan tentara Spanyol pada kentang karena ditanam di Peru.;A;0;PG4;Soal Bacaan
"Seseorang akan diuji dengan yang dia miliki. Ketika memiliki ilmu, dia akan diuji dengan seberapa jauh kemampuannya memanfaatkan ilmu. Ketika mempunyai harta, dia akan diuji dengan keikhlasannya mendistribusikan hartanya untuk orang lain. Di saat menduduki suatu jabatan, ia akan diuji dengan seberapa jauh kemampuannya mempertanggungjawabkan wewenang yang diembannya.\n\nIde pokok paragraf tersebut adalah...";Ujian hidup seseorang;Kebahagiaan keluarga;Seseorang yang memiliki harta;Tanggung jawab wewenang;A;0;PG4;Soal Bacaan
"gempa juga dilaporkan mengguncang wilayah sumbawa dan sekitrnya. bahkan, terasa hingga pulau Lombok meski intensitasnya rendah. Gempa cukup besar dan terjadi bersusulan itu membuat warga ketakutan dan berhamburan keluar rumah. akibat gempa tersebut, banyak warga belum berani masuk rumah dan memilih tidur diluar.\n\npokok informasi yang tidak ada dalam cuplikan tersebut adalah . . . .";peristiwa apa itu ?;kapan peristiwa itu terjadi?;mengapa peristiwa itu terjadi?;bagaimana proses kejadiannya?;D;0;PG4;Soal Bacaan
"(1) Badan Pengawas Pemilihan Umum (Bawaslu) merilis indeks kerawanan pemilu (IKP) pemilihan kepala daerah 2018. (2) Itu merupakan upaya Bawaslu melakukan pemetaan dan deteksi dini terhadap berbagai potensi pelanggaran dan kerawanan pilkada 2018. (3) Bawaslu menyusun IKP menggunakan tiga aspek utama, yakni penyelenggaraan, kontestasi, dan partisipasi. (4) Tiga aspek utama itu merupakan alat ukur penyelenggaraan pemilu yang demokratis, berkualitas, dan bermartabat.\n\n(5) Dimensi kontestasi mencakup subyek peserta pemilu, meliputi partai politik dan kandidat. (6) Dalam dimensi ini dilihat seberapa adil dan setara proses pertarungan berlangsung di antara para kontestan. (7) Dimensi kedua adalah partisipasi, yaitu menyangkut subyek masyarakat sebagai pemilih, bagaimana hak masyarakat dijamin serta mereka diberi ruang berpartisipasi untuk mengawasi proses pemilu. (8) Dimensi ketiga adalah penyelenggaraan terkait dengan integritas dan profesionalitas penyelenggara dalam menjamin pemilu beralan jujur, adil, dan demokratis. (9) IKP telah disusun sejak pemilihan legislatif 2014. (10) Akan tetapi, IKP pilkada 2018 disempurnakan agar lebih sederhana.\n\nPenulisan kata yang tidak mengikuti kaidah ejaan terdapat pada kalimat…";2;9;4;5;D;0;PG4;Soal Bacaan
